t_s,option,cwnd_mult,cwnd,avg_thr_mbps,avg_urtt_ms,srtt_ms,min_rtt_ms,loss_ratio,reward,kalman_rtt_ms,act_mu,act_sig,agent_id,fair_bw_mbps,active_flows,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.015,0,0.999,1023,0.000,0.000,0.000,0.000,0.0,0.0000,20.000,0.0001,1.0000,1,10.000,2,1.00000,0.00000,0.75267,0.00000,1.00000,0.00098,0.00000,0.00000,0.00000,0.00001,0.20000
1.236,0,0.977,1000,0.000,20.000,2.500,20.000,0.0,0.0000,20.000,0.0019,1.0000,1,10.000,2,0.00000,0.20000,0.75267,0.00000,1.00000,0.00098,1.00000,0.00000,0.00000,0.02500,0.20000
1.238,0,1.025,1050,0.392,21.000,4.812,20.000,0.0,0.8883,20.010,0.0049,0.9970,1,10.000,2,0.00000,0.21000,0.75267,0.11956,1.00000,0.00098,0.05000,0.00000,0.00490,0.04812,0.20010
1.240,0,1.017,1068,0.400,20.000,6.711,20.000,0.0,1.0011,20.000,0.0007,0.9996,1,10.000,2,0.02539,0.20000,0.75539,0.22942,1.00000,0.00095,-0.04762,0.00000,0.00501,0.06711,0.20000
1.242,0,1.015,1085,0.400,21.000,8.497,20.000,0.0,0.9080,20.001,0.0001,1.0000,1,10.000,2,0.01810,0.21000,0.75734,0.31424,1.00000,0.00094,0.05000,0.00000,0.00501,0.08497,0.20001
1.244,0,0.992,1077,0.400,20.000,9.935,20.000,0.0,1.0011,20.000,0.0022,1.0000,1,10.000,2,0.01590,0.20000,0.75905,0.39165,1.00000,0.00092,-0.04762,0.00000,0.00501,0.09935,0.20000
1.246,0,0.996,1072,0.400,21.000,11.318,20.000,0.0,0.9080,20.000,0.0023,1.0000,1,10.000,2,-0.00829,0.21000,0.75815,0.46175,1.00000,0.00093,0.05000,0.00000,0.00501,0.11318,0.20000
1.248,0,1.012,1086,0.400,20.000,12.403,20.000,0.0,1.0011,20.000,0.0049,0.9994,1,10.000,2,-0.00464,0.20000,0.75764,0.52849,1.00000,0.00093,-0.04762,0.00000,0.00501,0.12403,0.20000
1.250,0,0.977,1061,0.400,21.000,13.478,20.000,0.0,0.9080,20.000,0.0018,1.0000,1,10.000,2,0.01306,0.21000,0.75905,0.57169,1.00000,0.00092,0.05000,0.00000,0.00501,0.13478,0.20000
1.252,0,0.989,1048,0.400,20.000,14.293,20.000,0.0,1.0011,20.000,0.0026,1.0000,1,10.000,2,-0.02394,0.20000,0.75642,0.63646,1.00000,0.00094,-0.04762,0.00000,0.00501,0.14293,0.20000
1.254,0,1.024,1074,0.400,21.000,15.132,20.000,0.0,0.9080,20.000,-0.0003,1.0000,1,10.000,2,-0.01132,0.21000,0.75519,0.68269,1.00000,0.00095,0.05000,0.00000,0.00501,0.15132,0.20000
1.256,0,1.022,1099,0.400,20.000,15.740,20.000,0.0,1.0011,20.000,0.0018,1.0000,1,10.000,2,0.02576,0.20000,0.75794,0.70458,1.00000,0.00093,-0.04762,0.00000,0.00501,0.15740,0.20000
1.258,0,1.004,1103,0.400,21.000,16.398,20.000,0.0,0.9080,20.000,-0.0001,1.0000,1,10.000,2,0.02233,0.21000,0.76034,0.71691,1.00000,0.00091,0.05000,0.00000,0.00501,0.16398,0.20000
1.260,0,1.023,1129,0.400,20.000,16.848,20.000,0.0,1.0011,20.000,-0.0009,1.0000,1,10.000,2,0.00364,0.20000,0.76073,0.74415,1.00000,0.00091,-0.04762,0.00000,0.00501,0.16848,0.20000
1.262,0,1.023,1157,0.400,20.000,17.242,20.000,0.0,1.0011,20.000,0.0014,1.0000,1,10.000,2,0.02448,0.20000,0.76336,0.74632,1.00000,0.00088,0.00000,0.00000,0.00501,0.17242,0.20000
1.265,0,1.009,1168,0.400,21.000,17.712,20.000,0.0,0.9080,20.000,0.0007,1.0000,1,10.000,2,0.02389,0.21000,0.76592,0.74595,1.00000,0.00086,0.05000,0.00000,0.00501,0.17712,0.20000
1.267,0,1.013,1185,0.400,20.000,17.998,20.000,0.0,1.0011,20.000,0.0022,0.9998,1,10.000,2,0.01037,0.20000,0.76704,0.75840,1.00000,0.00086,-0.04762,0.00000,0.00501,0.17998,0.20000
1.269,0,1.019,1208,0.400,21.000,18.373,20.000,0.0,0.9080,20.000,0.0000,1.0000,1,10.000,2,0.01369,0.21000,0.76851,0.76025,1.00000,0.00084,0.05000,0.00000,0.00501,0.18373,0.20000
1.271,0,0.982,1186,0.400,20.000,18.576,20.000,0.0,1.0011,20.000,0.0040,0.9975,1,10.000,2,0.01941,0.20000,0.77060,0.76132,1.00000,0.00083,-0.04762,0.00000,0.00501,0.18576,0.20000
1.273,0,1.005,1192,0.400,21.000,18.879,20.000,0.0,0.9080,20.000,0.0039,0.9970,1,10.000,2,-0.01904,0.21000,0.76851,0.78469,1.00000,0.00084,0.05000,0.00000,0.00501,0.18879,0.20000
1.275,0,0.976,1164,0.400,20.000,19.019,20.000,0.0,1.0011,20.000,0.0022,1.0000,1,10.000,2,0.00675,0.20000,0.76924,0.79214,1.00000,0.00084,-0.04762,0.00000,0.00501,0.19019,0.20000
1.276,0,1.013,1179,0.400,21.000,19.267,20.000,0.0,0.9080,20.000,0.0026,1.0000,1,10.000,2,-0.02431,0.21000,0.76657,0.81790,1.00000,0.00086,0.05000,0.00000,0.00501,0.19267,0.20000
1.278,0,1.011,1193,0.400,20.000,19.359,20.000,0.0,1.0011,20.000,0.0051,0.9981,1,10.000,2,0.01289,0.20000,0.76796,0.81800,1.00000,0.00085,-0.04762,0.00000,0.00501,0.19359,0.20000
1.280,0,0.976,1165,0.400,21.000,19.564,20.000,0.0,0.9080,20.000,0.0021,1.0000,1,10.000,2,0.01272,0.21000,0.76933,0.81157,1.00000,0.00084,0.05000,0.00000,0.00501,0.19564,0.20000
1.281,0,1.013,1180,0.400,20.000,19.618,20.000,0.0,1.0011,20.000,0.0030,1.0000,1,10.000,2,-0.02513,0.20000,0.76657,0.84131,1.00000,0.00086,-0.04762,0.00000,0.00501,0.19618,0.20000
1.283,0,1.023,1208,0.400,20.000,19.666,20.000,0.0,1.0011,20.000,0.0013,1.0000,1,10.000,2,0.01375,0.20000,0.76805,0.83222,1.00000,0.00085,0.00000,0.00000,0.00501,0.19666,0.20000
1.286,0,1.023,1236,0.400,21.000,19.833,20.000,0.0,0.9080,20.000,0.0017,1.0000,1,10.000,2,0.02373,0.21000,0.77060,0.81490,1.00000,0.00083,0.05000,0.00000,0.00501,0.19833,0.20000
1.287,0,1.006,1245,0.400,20.000,19.854,20.000,0.0,1.0011,20.000,0.0031,0.9978,1,10.000,2,0.02401,0.20000,0.77317,0.80255,1.00000,0.00081,-0.04762,0.00000,0.00501,0.19854,0.20000
1.289,0,1.002,1249,0.400,21.000,19.997,20.000,0.0,0.9080,20.000,0.0002,1.0000,1,10.000,2,0.00728,0.21000,0.77396,0.79759,1.00000,0.00080,0.05000,0.00000,0.00501,0.19997,0.20000
1.291,0,1.023,1279,0.400,20.000,19.997,20.000,0.0,1.0011,20.000,0.0017,1.0000,1,10.000,2,0.00321,0.20000,0.77431,0.80077,1.00000,0.00080,-0.04762,0.00000,0.00501,0.19997,0.20000
1.294,0,0.989,1264,0.400,21.000,20.123,20.000,0.0,0.9080,20.000,0.0004,1.0000,1,10.000,2,0.02320,0.21000,0.77679,0.78263,1.00000,0.00078,0.05000,0.00000,0.00501,0.20123,0.20000
1.296,0,0.977,1233,0.400,20.000,20.107,20.000,0.0,1.0011,20.000,0.0028,1.0000,1,10.000,2,-0.01251,0.20000,0.77543,0.79751,1.00000,0.00079,-0.04762,0.00000,0.00501,0.20107,0.20000
1.298,0,0.981,1208,0.400,21.000,20.219,20.000,0.0,0.9080,20.000,0.0013,1.0000,1,10.000,2,-0.02454,0.21000,0.77273,0.81696,1.00000,0.00081,0.05000,0.00000,0.00501,0.20219,0.20000
1.300,0,0.985,1188,0.400,20.000,20.192,20.000,0.0,1.0011,20.000,0.0053,0.9982,1,10.000,2,-0.02029,0.20000,0.77051,0.83851,1.00000,0.00083,-0.04762,0.00000,0.00501,0.20192,0.20000
1.302,0,0.983,1168,0.400,21.000,20.293,20.000,0.0,0.9080,20.000,0.0056,0.9996,1,10.000,2,-0.01574,0.21000,0.76879,0.85076,1.00000,0.00084,0.05000,0.00000,0.00501,0.20293,0.20000
1.304,0,0.996,1162,0.400,20.000,20.256,20.000,0.0,1.0011,20.000,0.0030,1.0000,1,10.000,2,-0.01768,0.20000,0.76685,0.87041,1.00000,0.00086,-0.04762,0.00000,0.00501,0.20256,0.20000
1.306,0,0.994,1155,0.400,20.000,20.224,20.000,0.0,1.0011,20.000,0.0058,0.9976,1,10.000,2,-0.00428,0.20000,0.76639,0.87258,1.00000,0.00086,0.00000,0.00000,0.00501,0.20224,0.20000
1.308,0,0.979,1129,0.400,21.000,20.321,20.000,0.0,0.9080,20.000,0.0029,1.0000,1,10.000,2,-0.00688,0.21000,0.76564,0.87724,1.00000,0.00087,0.05000,0.00000,0.00501,0.20321,0.20000
1.310,0,0.985,1112,0.400,20.000,20.281,20.000,0.0,1.0011,20.000,0.0036,1.0000,1,10.000,2,-0.02166,0.20000,0.76326,0.90096,1.00000,0.00089,-0.04762,0.00000,0.00501,0.20281,0.20000
1.311,0,1.016,1129,0.400,21.000,20.371,20.000,0.0,0.9080,20.000,0.0031,0.9998,1,10.000,2,-0.01594,0.21000,0.76152,0.91375,1.00000,0.00090,0.05000,0.00000,0.00501,0.20371,0.20000
1.313,0,0.986,1113,0.400,20.000,20.324,20.000,0.0,1.0011,20.000,0.0029,1.0000,1,10.000,2,0.01620,0.20000,0.76326,0.90317,1.00000,0.00089,-0.04762,0.00000,0.00501,0.20324,0.20000
1.315,0,0.980,1090,0.400,21.000,20.409,20.000,0.0,0.9080,20.000,0.0002,1.0000,1,10.000,2,-0.01417,0.21000,0.76171,0.91407,1.00000,0.00090,0.05000,0.00000,0.00501,0.20409,0.20000
1.317,0,1.025,1117,0.400,20.000,20.358,20.000,0.0,1.0011,20.000,0.0048,0.9971,1,10.000,2,-0.02156,0.20000,0.75935,0.93810,1.00000,0.00092,-0.04762,0.00000,0.00501,0.20358,0.20000
1.319,0,0.992,1107,0.000,0.000,20.358,20.000,0.0,0.0000,20.000,0.0051,0.9969,1,10.000,2,0.02571,0.00000,0.76210,0.00000,1.00000,0.00090,-1.00000,0.00000,0.00000,0.20358,0.20000
1.321,0,1.023,1132,0.400,21.000,20.438,20.000,0.0,0.9080,20.000,0.0010,1.0000,1,10.000,2,-0.00895,0.21000,0.76113,0.92053,1.00000,0.00090,0.05000,0.00000,0.00501,0.20438,0.20000
1.323,0,1.007,1140,0.400,20.000,20.383,20.000,0.0,1.0011,20.000,0.0010,1.0000,1,10.000,2,0.02258,0.20000,0.76355,0.90375,1.00000,0.00088,-0.04762,0.00000,0.00501,0.20383,0.20000
1.325,0,1.005,1147,0.400,21.000,20.460,20.000,0.0,0.9080,20.000,0.0005,1.0000,1,10.000,2,0.00795,0.21000,0.76441,0.89422,1.00000,0.00088,0.05000,0.00000,0.00501,0.20460,0.20000
1.327,0,1.002,1151,0.400,20.000,20.403,20.000,0.0,1.0011,20.000,0.0034,1.0000,1,10.000,2,0.00613,0.20000,0.76507,0.89213,1.00000,0.00087,-0.04762,0.00000,0.00501,0.20403,0.20000
1.329,0,0.981,1130,0.400,21.000,20.477,20.000,0.0,0.9080,20.000,0.0002,1.0000,1,10.000,2,0.00348,0.21000,0.76545,0.88653,1.00000,0.00087,0.05000,0.00000,0.00501,0.20477,0.20000
1.331,0,1.014,1145,0.400,20.000,20.418,20.000,0.0,1.0011,20.000,0.0028,1.0000,1,10.000,2,-0.01997,0.20000,0.76326,0.90790,1.00000,0.00089,-0.04762,0.00000,0.00501,0.20418,0.20000
1.335,0,1.000,1144,0.400,20.000,20.366,20.000,0.0,1.0011,20.000,0.0046,0.9988,1,10.000,2,0.01417,0.20000,0.76479,0.89261,1.00000,0.00087,0.00000,0.00000,0.00501,0.20366,0.20000
1.337,0,1.006,1152,0.400,21.000,20.445,20.000,0.0,0.9080,20.000,0.0052,0.9990,1,10.000,2,-0.00087,0.21000,0.76469,0.89110,1.00000,0.00087,0.05000,0.00000,0.00501,0.20445,0.20000
1.339,0,1.020,1176,0.400,20.000,20.389,20.000,0.0,1.0011,20.000,0.0021,1.0000,1,10.000,2,0.00699,0.20000,0.76545,0.88836,1.00000,0.00087,-0.04762,0.00000,0.00501,0.20389,0.20000
1.341,0,1.005,1183,0.400,21.000,20.466,20.000,0.0,0.9080,20.000,0.0051,0.9984,1,10.000,2,0.02083,0.21000,0.76769,0.86786,1.00000,0.00085,0.05000,0.00000,0.00501,0.20466,0.20000
1.343,0,0.996,1179,0.400,20.000,20.407,20.000,0.0,1.0011,20.000,0.0014,1.0000,1,10.000,2,0.00680,0.20000,0.76842,0.86523,1.00000,0.00084,-0.04762,0.00000,0.00501,0.20407,0.20000
1.345,0,0.997,1175,0.400,21.000,20.481,20.000,0.0,0.9080,20.000,0.0025,1.0000,1,10.000,2,-0.00422,0.21000,0.76796,0.86642,1.00000,0.00085,0.05000,0.00000,0.00501,0.20481,0.20000
1.347,0,0.987,1159,0.400,20.000,20.421,20.000,0.0,1.0011,20.000,0.0025,1.0000,1,10.000,2,-0.00339,0.20000,0.76759,0.87253,1.00000,0.00085,-0.04762,0.00000,0.00501,0.20421,0.20000
1.350,0,0.982,1136,0.400,21.000,20.494,20.000,0.0,0.9080,20.000,0.0025,1.0000,1,10.000,2,-0.01447,0.21000,0.76601,0.88274,1.00000,0.00086,0.05000,0.00000,0.00501,0.20494,0.20000
1.352,0,0.995,1129,0.400,20.000,20.432,20.000,0.0,1.0011,20.000,0.0040,1.0000,1,10.000,2,-0.01986,0.20000,0.76384,0.90381,1.00000,0.00088,-0.04762,0.00000,0.00501,0.20432,0.20000
1.354,0,1.000,1129,0.400,21.000,20.503,20.000,0.0,0.9080,20.000,0.0042,1.0000,1,10.000,2,-0.00617,0.21000,0.76317,0.90668,1.00000,0.00089,0.05000,0.00000,0.00501,0.20503,0.20000
1.356,0,0.979,1106,0.400,20.000,20.440,20.000,0.0,1.0011,20.000,0.0037,1.0000,1,10.000,2,0.00177,0.20000,0.76336,0.90823,1.00000,0.00088,-0.04762,0.00000,0.00501,0.20440,0.20000
